mol,smiles
mol1,C12=C(C3C=CC(=CC=3)Cl)C=NN1C(=C(C1C=CC=CC=1)C(C)=N2)N
mol2,C(COC1=CC=C(C=C1C)Br)(=O)N/N=C(\C)/CC(NCC)=O
mol3,C(=O)(NC1=CC=C(C=C1)OCCCC)C1CC1
mol4,N(=O)(=O)C1C=C(C=C(C=1)N(=O)=O)C(=O)OC1=CC=C(C=C1)/C=N/C1C=CC(=CC=1)N(C)C
mol5,N1(C2C=CC(=CC=2)C(C)C)CC(CC1=O)C(=O)NC1C=C(Cl)C=C(Cl)C=1
mol6,C(=O)(OC1C=CC(=CC=1)/C=N/C1=CC=C(C=C1)N(C)C)C1C=CC=CC=1Cl
mol7,C1(N)N(C2=CC=CC=C2)N=CC=1C(O)=O
mol8,C(=O)(N/N=C/C1C=CC(=C(OCC)C=1)OCCC)C(=O)NC1=CC=CC(OC)=C1
mol9,C1(C(OCC)=O)C(C2C=CC(=CC=2)C)C2C(=O)CC(CC=2OC=1N)(C)C
mol10,C(=O)(N/N=C\C1=CC=C(C=C1OCC1C=CC=CC=1)OCC1C=CC=CC=1)C1=CC=C(C=C1)OCCCCCCCC
mol11,S(=O)(=O)(C1=CC=C(C=C1)F)N1CCC(CC1)C(=O)NC1C=CC(=C(Cl)C=1)Cl
mol12,C(=O)(NC1=CC=CC(Cl)=C1)CC(=O)N/N=C/C1C=CC(=C(OC)C=1)O
mol13,C1(NC(=O)C2C=CC(=CC=2)Cl)=C(C2C=CC=CC=2)N=C2SC=CN12
mol14,N(=O)(=O)C1=CC(=CC(=C1)N(=O)=O)C(=O)OC1=CC=C(C=C1)/C=N/C1C=CC(=CC=1)C1C=CC(=CC=1)/N=C/C1C=CC(=CC=1)OC(=O)C1C=C(C=C(C=1)N(=O)=O)N(=O)=O
mol15,N12N=NN=C1NC(C1C=CC(=CC=1)Cl)=CC2C1=CC=CO1
mol16,N(=O)(=O)C1=CC=C(C=C1)C(=O)N/N=C\C1=CC=C(C=C1OCC1=CC=CC=C1)OCC1C=CC=CC=1
mol17,C1(C(OCC=C)=O)=C(C)NC2=C(C(=O)CC(C)(C)C2)C1C1C=CC=C(O)C=1
mol18,C(COC1C=C(C)C=CC=1C)(=O)NN=CC1C=CC2=C(OCO2)C=1
mol19,C(N(CC)CC)(=S)OC1=CC=CC(=C1)C(=O)NC1C=CC(=CC=1)I
mol20,C1(C(OCCOC)=O)=C(C)NC2=C(C(=O)CC(C3=CC=CC=C3)C2)C1C1C=CC(=C(OC)C=1)OCCC
mol21,C(=O)(NC1=CC=CC(Cl)=C1)CC(=O)N/N=C/C1C=CC(=CC=1OC)OC
mol22,C1(C(=O)OC2CCCCCCC2)=C(C)NC(NC1C1C=CC2=C(OCO2)C=1)=O
mol23,C(=O)(NC1=CC=CC(Cl)=C1)CC(=O)N/N=C/C1C=C(OC)C=CC=1OC
mol24,N1(C2=CC=C(C=C2)OC)C(=O)CC(N(CCC2C=CC=CC=2)C(CCC(O)=O)=O)C1=O
mol25,N(=C1/CCCCCCCCCCC/1)\NC(CC1C=CC(=CC=1)C)=O
mol26,C1(SC(CC)C(=O)NC2=CC=C(C=C2)Cl)SC2=C(C=CC(N)=C2)N=1
mol27,C1(C=C(Cl)C=CC=1OC)C(=O)NC1C=CC(=CC=1)C#N
mol28,C(=O)(N/N=C/C1C=CC(=CC=1)OCC1=CC=C(C=C1)Cl)C1=CC=C(C=C1)N(C)C
mol29,C1(C=C(OC)C(=CC=1N(=O)=O)OC)C(=O)NC1=NN=C(CC(C)(C)C)S1
mol30,C1(SC2=C(C=CC=C2)N=1)NC(=O)C1=CC=C2C(OCCO2)=C1
mol31,C(=O)(NC1=CC=CC(Cl)=C1)CC(=O)N/N=C/C1C=CC=C(OC)C=1OC
mol32,C1(C(C)=NNC(=O)C2=CC=CN=C2)=CC2C=C(Cl)C=CC=2OC1=O
mol33,C12=C(O)CC(CC1=NC1=C(C=CC=C1)N(C(CCC(O)=O)=O)C2C1C=CC(=CC=1)C(OC)=O)C1C=CC=CC=1
mol34,C1(=CC=C(C=C1N(=O)=O)C(=O)OC1C=CC(=CC=1)/C=N/C1C(=CC=CC=1Cl)Cl)C(=O)OC1C=CC(=CC=1)/C=N/C1C(=CC=CC=1Cl)Cl
mol35,N(=CC1C=CC(=C(OCC)C=1)O)NC(CCCC1C=CC(=CC=1C)OC)=O
mol36,C(=O)(N/N=C/C1C=CC=C(OC)C=1)C(=O)NCC1C=CC=CC=1
mol37,N(=NC1C=CC=C2C=CC=CC=12)C1C=C(CC)C=CC=1O
mol38,C(COC1=CC=C(C=C1C)Br)(=O)N/N=C(\C)/CC(=O)NCC1=CC=C(C=C1)Cl
mol39,S(=O)(=O)(C1=CC=C(C=C1)NC(=O)C1C=CC=CC=1I)NC1C=C(ON=1)C
mol40,C(=S)(OC1=CC=CC(=C1)C(=O)NC1=CC=C(C=C1)I)N(CC(C)C)CC(C)C
mol41,C(/NC1C=CC=C(Cl)C=1)(\NC1=NC(C)=CC(C)=N1)=N\C(=O)NC1=CC=C(C(Cl)=C1)Cl
mol42,C(=O)(C1=CC=C(C=C1)NC(C)=O)NC(C)CCC1=CC=CC=C1
mol43,N(=O)(=O)C1C=CC(=CC=1)OCC(=O)C1=CC=C(C=C1)Br
mol44,C1(C2C=C(OC)C(=C(OC)C=2)OC)=NC2C=CC(=CC=2C(C2=CC=CC=C2)N1CC(OCC)=O)Br
mol45,C1(=CC(=CC=C1O)CC1=CC=C(C(/C=N/C2=CC=CC=C2CC)=C1)O)/C=N/C1C=CC=CC=1CC
mol46,C1(C=CC=CC=1NC(=O)C1C=CC(=C(NC(COC2=CC=CC=C2OC)=O)C=1)C)C(O)=O
mol47,N(/C1C=CC(=CC=1)C)=C\C1C=CC(=CC=1)OCC1=CC=C(C=C1)Cl
mol48,N12C3C=CC=CC=3N=C1SC(C(=O)NC1=CC=CC3=CC=CC=C13)=CC2=O
mol49,C(=O)(N/N=C/C1C=CC=C(OC)C=1)C(=O)NC1=CC=CC(=C1)C(F)(F)F
mol50,C(C1C=CC=CC=1)(=O)NN=CC1C=CC=CC=1OCCCOC1=CC=CC(OC)=C1
mol51,C(=O)(N/N=C/C1C=CC=C(OC)C=1)C(=O)NC1=CC=CC(Br)=C1
mol52,C(N)(NN=CC1C=CC(=CC=1)OCCOCCOC1=CC=CC=C1C)=S
mol53,N(/C1C=CC(=CC=1)C)=C\C1=CC=C(C=C1)OCC1=CC=C(C=C1)Br
mol54,C1(CCCC=1NC1=CC=C(C=C1)Cl)C#N
mol55,C1(NC(=O)NC2C=CC(=CC=2Cl)Cl)=NN=C(COC2C=CC(=CC=2)OC)S1
mol56,C(F)(F)(C(F)(F)C(F)(F)C(F)(F)C1CC(N(C(=O)C2C=CC(=CC=2)F)N=1)(C)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
mol57,N1(CC(C)OC(C)C1)C(=S)C1=CC=C(C=C1)Cl
mol58,N(=C/C1C=CC=CC=1OCC1C=CC(=CC=1)Cl)\NC(CC1=CC=C(C=C1)C)=O
mol59,C1(C=CC(=CC=1OC)SC)C(=O)NC1C=CC=C(OC)C=1
mol60,C1(=CC(=CC=C1O)CC1=CC=C(C(/C=N/C2=CC=C(C(C)=C2)C)=C1)O)/C=N/C1C=CC(=C(C)C=1)C
mol61,C(=O)(NN=CC1C=CC=C(Cl)C=1Cl)C1=CC=CC(Br)=C1
mol62,C(=O)(OC1=CC=CC(=C1)/C=N/C1C=CC(=C(C)C=1)C)C1C=CC=CC=1C(=O)OC1=CC=C(C=C1)/C=N/C1=CC=C(C(C)=C1)C
mol63,N(=O)(=O)C1C(C)=CC=C(C=1)C(=O)O/N=C(\N)/CC1=CC=CC2=CC=CC=C12
mol64,S(C1C=CC=CC=1)(=O)(=O)N(C1=CC=C(C(Cl)=C1)Cl)CC(=O)N/N=C/C1C=CC(=CC=1)OCC1C=CC(=CC=1)N(=O)=O
mol65,C1(C2=CC=CC=C2Cl)OC2=C(C=C(C=C2)NC(=O)C2=CC(OC)=C(C(OC)=C2)OC)N=1
mol66,C(=O)(N/N=C/C1C=CC=C(OC)C=1)C(=O)NC1C=CC=C2C=CC=CC=12
mol67,S(=O)(=O)(NC1SC=CN=1)C1=C(Cl)C=CC(Cl)=C1
mol68,C(=O)(N/N=C/C1C=CC=C(OC)C=1)C(NCC=C)=O
mol69,C12SSC(=S)C=1C1=C(C(C)=CC=C1)N(C(=O)COC1=CC=C3C(C=CC=C3)=C1)C2(C)C
mol70,S(C1=CC=CC=C1)(=O)(=O)N(CC(=O)N/N=C/C1C=CC(=CC=1)OCC1C=CC(=CC=1)N(=O)=O)C1C=CC=CC=1OC
mol71,C12(SC(=C(C(OC)=O)S1)C(OC)=O)C(C(OC)=O)=C(C(OC)=O)SC1C(N(C(CCC3CCCCC3)=O)C3C=C(C)C=CC=3C2=1)(C)C
mol72,N(/C1=CC=C(C=C1)OC)=C\C1C=CC(=CC=1)OCC1=CC=C(C=C1)Cl
mol73,C(CCCC1=CC=CC=C1)(=O)NC1CCCC1
mol74,N(=O)(=O)C1C=CC(=CC=1)COC1C=CC(=CC=1)/C=N/NC(=O)CC#N
mol75,C1(=NC2C=CC=C(C=2)C(O)=O)SC(C(=O)N1C)=CC1=CC=C(C(OC)=C1)O
mol76,C(C(NCC=C)=O)C(=O)N/N=C/C1C=CC=C(OC)C=1
mol77,C(=O)(OC1C=CC(=CC=1OC)C=NNC(NCC)=S)C1=CC=CS1
mol78,N(=O)(=O)C1=CC=CC2=C(C=CC=C12)C(=O)NC(C(=O)OCC1C=CC=CC=1)CC(OCC1C=CC=CC=1)=O
mol79,N1(CC2=CC=CN=C2)C(=O)C(SC1=NC1C=CC=CC=1)=CC1C2C=CC=CC=2NC=1
mol80,C1(=CC2C3C=CC=CC=3C=CC=2OC1=O)C1SC=C(C2=CC=CC=C2)N=1
mol81,C1(=CC=C(C=C1N(=O)=O)C(=O)OC1C=CC(=CC=1)/C=N/NC(=O)C1=CC=CC=C1O)C(=O)OC1C=CC(=CC=1)/C=N/NC(=O)C1=CC=CC=C1O
mol82,N(C(=O)C1=CC=CC(C)=C1)C(=S)NC1=CC=C(C=C1)C(C)=O
mol83,N(=O)(=O)C1C=CC(=CC=1)COC1C=CC(=CC=1)/C=N/NC(CSCC1=CC=CC(Cl)=C1)=O
mol84,N1C(N2CCCC2)=NC(=NC=1N1CCCC1)NN=CC1=CC(Cl)=CC=C1OCC1C=CC=C2C=CC=CC=12
mol85,S(C1C=CC=CC=1)(=O)(=O)N(C1=CC=C(C(Cl)=C1)C)CC(=O)N/N=C/C1C=CC(=C(Br)C=1)N(C)C
mol86,C1(C#N)C(C2C=CN=CC=2)C2C=CC3=C(N=CC=C3)C=2OC=1N
mol87,N(/C1=CC=CC(C)=C1)=C\C1=CC=C(C=C1)OCC1C=CC=CC=1
mol88,S(C1=CC=CC=C1)(=O)(=O)N(C1C=CC(=CC=1)OC)CC(=O)N/N=C/C1C=CC(=C(Br)C=1)N(C)C
mol89,N1=C(N2CCOCC2)N=C(N=C1N1CCOCC1)NNC(=S)NC1CCCCC1
mol90,N(/C1=CC=CC(C)=C1)=C\C1C=CC(=CC=1)OCC1C=CC=CC=1Cl
mol91,S(C1C=CC=CC=1)(=O)(=O)N(C1=CC=C(C=C1)C(C)C)CC(=O)N/N=C/C1C=CC(=C(Br)C=1)N(C)C
mol92,C(=O)(N/N=C/C1C=CC=C(OC)C=1)C1=CC=C(C(OC)=C1)OC
mol93,S(C1=CC=CC=C1)(=O)(=O)N(C1=CC=CC(Cl)=C1)CC(=O)N/N=C/C1C=CC(=C(Br)C=1)N(C)C
mol94,C(=O)(OC1=CC=C(C=C1)/C=N/C1C=CC(=CC=1)/N=C\C1C=CC(=CC=1)OC(=O)/C=C\C1=CC=C(C=C1)Br)/C=C/C1=CC=C(C=C1)Br
mol95,C(=O)(N/N=C/C1C=CC=C(OC)C=1OC)C(=O)NCC1C=CC(=CC=1)Cl
mol96,S(C1C=CC=CC=1)(=O)(=O)N(CC(=O)N/N=C/C1C=CC(=C(Br)C=1)N(C)C)C1C=CC=CC=1OC
mol97,C1(NNC(=O)C2C=CC(=CC=2)O)OC(C)C(C(O)C1O)O
mol98,S(=O)(=O)(C1C=CC(=CC=1)N(=O)=O)N(C)CC(=O)OCC(C1=CC=CC=C1)=O
mol99,C(=O)(/C=C/C1C=CC(=CC=1)Br)OC1=CC=CC=C1/C=N\C1C=CC(=CC=1)/N=C/C1=CC=CC=C1OC(=O)/C=C/C1C=CC(=CC=1)Br
mol100,C1(OC2=C(C=CC=C2)N=1)C1=CC(=CC=C1Cl)NC(=S)NC(=O)C=CC1=CC=CC(=C1)N(=O)=O
mol101,N(=O)(=O)C1=CC=CC(=C1)/C=N/NC(CSCC1C=CC(=CC=1)N(=O)=O)=O
mol102,N#CC1C=CC(=CC=1)C(C)=O
mol103,N(=C/C1=CC=C(C=C1)OC(=O)/C=C/C1=CC=C(C=C1)Br)\C1=CC=CC(C)=C1C
mol104,N(=O)(=O)C1=CC=CC=C1/C=N/NC(CSCC1C=CC(=CC=1)N(=O)=O)=O
mol105,N(=O)(=O)C1=CC=C(C=C1)CSCC(=O)N/N=C/C1C=CC=C(Br)C=1
mol106,N(=C/C1=CC=C(C=C1)OC(=O)/C=C/C1C=CC(=CC=1)Br)\C1=CC(C)=CC=C1C
mol107,C1(=CC=C(C=C1N(=O)=O)C(=O)OC1=CC=C(C=C1)/C=N/C1=CC=C(C=C1)/N=N\C1=CC=CC=C1)C(=O)OC1=CC=C(C=C1)/C=N/C1C=CC(=CC=1)/N=N\C1C=CC=CC=1
mol108,C1(=CC=C(C=C1N(=O)=O)C(=O)OC1=CC=C(C=C1)/C=N/C1=CC=C(C=C1)Cl)C(=O)OC1=CC=C(C=C1)/C=N/C1C=CC(=CC=1)Cl
mol109,N(=O)(=O)C1=CC=C(C=C1)CSCC(=O)N/N=C/C1=CC=C(C=C1)Br
mol110,C1(OC2=C(C=C(C=C2)CC)N=1)C1=CC(=CC=C1Cl)NC(=S)NC(=O)C1=C(C)C2=C(C=CC=C2)O1
mol111,C1(=CC=C(C=C1N(=O)=O)C(=O)OC1=CC=C(C=C1)/C=N/C1=CC=C(C=C1)Br)C(=O)OC1=CC=C(C=C1)/C=N/C1C=CC(=CC=1)Br
mol112,N1(C2=CC=CC=C2C2C=CC=CC=2)C(=O)C2=C(C=C(C=C2)C(=O)NC2=CC=C(C=C2)SC2=CC=C(C=C2)N(=O)=O)C1=O
mol113,S(C)(=O)(=O)N(C1C=CC(=CC=1)Cl)CC(=O)NC1C=CC(=CC=1)Cl
mol114,C(=O)(NC1=CC=C(C=C1)C(OCC)=O)C/C(/C)=N/NC(COC1C=CC(=CC=1)OC)=O
mol115,C(=O)(OC1=CC=C(C=C1)/C=N/C1=CC=CC(OC)=C1)/C=C/C1C=CC(=CC=1)Br
mol116,C(C(OC)=O)(=CC1C2C=CC=CC=2N(C(C)=O)C=1)N(=O)=O
mol117,N(=O)(=O)C1C=CC(=CC=1)CSCC(=O)N/N=C/C1C=CC(=C(OC)C=1)OC
mol118,C(=O)(OC1=CC=C(C=C1OC)C=N/N=C(\N)/N)C1=CC=CC=C1Cl
mol119,N(=O)(=O)C1=CC=C(C=C1)CSCC(=O)N/N=C/C1C=CC2=C(OCO2)C=1
mol120,C1(=CC=C(C2=CC=CC=C2)O1)C(=O)N/N=C(/C1C=CC(=CC=1)OC)\C1C=CC(=CC=1)OC
mol121,C(N(CC=C)CC=C)(=S)OC1=CC=CC(=C1)C(=O)NC1=CC=CC=C1
mol122,N1(N=C(C(=NNC2=CC=C(C=C2)Cl)C1=O)C1=CC=CC=C1)C1SC=C(C2=CC=C(C=C2)CCCC)N=1
mol123,N(=O)(=O)C1=CC=C(C=C1)CSCC(=O)N/N=C/C1=CC=C(C=C1)OCC=C
mol124,S(=O)(=O)(C1=CC=C(C=C1)NC(=O)C1=C(C)ON=C1C1=CC=CC=C1)N1CCCC1
mol125,N(=O)(=O)C1C=CC=C(C=1C)C(=O)NC(=S)NC1C=CC(=CC=1)OC
mol126,N(=C/C1=CC=C(C=C1)OC(=O)/C=C/C1C=CC(=CC=1)Br)\C1=CC=C(C=C1C)C
mol127,C1(C2=C(C=CC=C2Cl)Cl)=NOC(C)=C1C(=O)NC1C=CC=C(Br)C=1
mol128,N(=C/C1=CC=C(C=C1)OC(=O)/C=C/C1C=CC(=CC=1)Br)\C1=CC=CC=C1C
mol129,C(C1C=CC=CC=1)(=O)NCC(=O)NCC(=O)N/N=C/C1C=C(OC)C=CC=1OC
mol130,N(=O)(=O)C1=CC=CC(=C1)/C=N/NC(CNC(CNC(C1=CC=CC=C1)=O)=O)=O
mol131,N(=O)(=O)C1=CC=CC(=C1)C=NNC(=O)C1=CC=CC=C1C
mol132,C(F)(F)(F)C1=CC=C(C(=C1)NC(=O)C1C=CC(=CC=1)Cl)Cl
mol133,C1(NC2C=CC=C(Cl)C=2C)N=C(CN2CCC3=C(C=CC=C3)C2)N=C(N)N=1
mol134,C1(=CC=C(C=C1N(=O)=O)C(=O)OC1=CC=C(C=C1)/C=N/C1C=CC(=CC=1)OC)C(=O)OC1=CC=C(C=C1)/C=N/C1C=CC(=CC=1)OC
mol135,N(=O)(=O)C1C=CC=CC=1C(=O)NC1CCCC1
mol136,C(CC1C=CC(=CC=1)Br)(=O)NC1=CC=C(C=C1F)F
mol137,N1C(=O)/C(/SC1=S)=C\C1=CC=C(C=C1)OC(=O)C1=CC=C(C(=C1)N(=O)=O)C(=O)OC1C=CC(=CC=1)/C=C1\SC(NC\1=O)=S
mol138,N(=O)(=O)C1C=CC(=CC=1)N1CCN(CC1)C(=O)CC1C=CC=CC=1OC
mol139,N(=O)(=O)C1=CC=C(C=C1)CSCC(=O)N/N=C/C1=CC=C(C=C1)OCC1=CC=C(C=C1)Cl
mol140,C1(NC(C(CC)CC)=O)=C(C)N(N(C2C=CC=CC=2)C1=O)C
mol141,N(=O)(=O)C1=CC=C(C=C1)CSCC(=O)N/N=C/C1=CC=C(C=C1)OCC1=CC=C(C=C1)C
mol142,C1(SCC(=O)NCC2=CC=CO2)NC2=C(C=CC=C2)N=1
mol143,C(NCCCCCC)(=O)C1=CC=C(C=C1)OC(C)=O
mol144,N(=O)(=O)C1=CC=C(C=C1)CSCC(=O)N/N=C/C1C=CC(=C(OCC)C=1)OCC1C=CC=CC=1
mol145,C(=O)(C1C=CC=CC=1C)NC(C)C1C=CC=CC=1
mol146,N(=O)(=O)C1C=CC(=CC=1)CSCC(=O)N/N=C/C1C=CC(=C(OCC)C=1)OCCC
mol147,C(=O)(NC1=CC=C2C(OCO2)=C1)C(=O)NCC1CCCO1
mol148,C1(=CC=C(C=C1N(=O)=O)C(=O)OC1C=CC(=CC=1)/C=N/C1C=CC=CC=1O)C(=O)OC1C=CC(=CC=1)/C=N/C1C=CC=CC=1O
mol149,C12OC(N)=C(C(C3C=CC=CC=3Cl)C=1C(=NN2C1C=CC(=CC=1)Br)C)C#N
mol150,C(OCC1C=CC(=CC=1)OC)(=O)N/N=C(\C)/CC(NCCC1C=CC=CC=1)=O
mol151,N(=O)(=O)C1C=C(C=C(C(NCCOC)=O)C=1)C(OC)=O
mol152,C1(C(OC)=O)=CN(CC2C=CC=CC=2)C=C(C(OC)=O)C1C1C=CC(=C(Cl)C=1)Cl
mol153,C1(=CC=C(C=C1N(=O)=O)C(=O)OC1=CC=C(C=C1)/C=N/C1=CC=CC(C)=C1)C(=O)OC1=CC=C(C=C1)/C=N/C1=CC=CC(C)=C1
mol154,S(C)(=O)(=O)N(C1=CC=C(C=C1)I)CC(=O)NC1=CC=CC(Cl)=C1C
mol155,S(C1=CC=CC=C1)(=O)(=O)N(CC(=O)N/N=C(\C)/C1C=CC=C(I)C=1)C1C=CC(=CC=1C)C
mol156,C1(NC(=O)C2C=CC=CC=2C)SC2=C(CCC2)C=1C(NC)=O
mol157,C(=O)(C1C=CC=C(F)C=1)NC1C=CC(=CC=1Br)Br
mol158,N1(C2C=CC(=CC=2)Cl)C(=O)CC(N2CCOCC2)C1=O
mol159,S(C1=CC=CC=C1)(=O)(=O)N(C1=CC=C(C(Cl)=C1)Cl)CC(=O)N/N=C(\C)/C1C=CC=C(I)C=1
mol160,C1(C(=O)NN=CC2=C(C=CC=C2Cl)F)NN=C(C2C=CC(=CC=2)F)C=1
mol161,N1(C2=CC=C(C=C2)OC)CC2C(=CC3=C(CN(C3)C3C=CC(=CC=3)OC)C=2)C1
mol162,S1C(C2CCCC2)=NN=C1NC(=O)NC1C=CC(=CC=1)OC
mol163,C(=C/C1=CC=C(C=C1)N(=O)=O)(/C(=O)N/N=C/C1C=CC(=CC=1)Br)\C(=O)N/N=C/C1C=CC(=CC=1)Br
mol164,C1(=NN=C(COC2C=C(C)C=CC=2C(C)C)S1)NC(=O)C1C=CC(=CC=1Cl)Cl
mol165,N12CN(C)CN=C1SC(CO)(CO)C2=O
mol166,C1(NC(C2C=CC=CC=2)=O)N(CCOC2C=CC(=CC=2)OC)C2=C(C=CC=C2)N=1
mol167,C(=O)(C1=CC=CC(=C1)OC(NCC1C=CC=CC=1)=S)NC1C=CC(=CC=1)C
mol168,C1(CCCC(=CC2C=CC(=CC=2)C)C1=O)=CC1=CC=C(C=C1)C
mol169,S(=O)(=O)(C1=CC=C(C=C1)N(=O)=O)NCC(=O)NCC(=O)N/N=C/C1C=CC=C(C=1)N(=O)=O
mol170,N1=C(N)N(N=C1NC(C1C=CC=CC=1)=O)C1=CC=CC=C1
mol171,N(=C(/C)\C1C=CC=C(I)C=1)/NC(CSCC1C=CC=C(Cl)C=1)=O
mol172,C1(C2CCCCC=2SC=1NC(CCC(O)=O)=O)C(=O)NC1=CC=CC=C1C
mol173,S(C1=CC=CC=C1)(=O)(=O)N(C1=CC=C(C(Cl)=C1)C)CC(=O)N/N=C/C1C=CC(=C(OCC)C=1)OCC1C=CC(=CC=1)Cl
mol174,C1(=C(C)C=CC(Cl)=C1)NC(CC(C)C)=O
mol175,C1(=CC2C3C=CC=CC=3N(CCOC3=CC(C)=CC(C)=C3)C=2)C(=O)NN(C2=CC=CC=C2)C1=O
mol176,C(OCC1C=CC(=CC=1)OC)(=O)N/N=C(\C)/CC(=O)NC1C=CC2=C(C=CC=C2)C=1
mol177,C12NN=C(CC)C=1C(C(C#N)=C(N)O2)C1=CC=C(C=C1)OC(F)F
mol178,S(=O)(=O)(C1C=CC(=CC=1)N(=O)=O)NCC(=O)NCC(=O)N/N=C(\C)/C
mol179,S(=O)(=O)(C1C=CC(=CC=1)C)N1CCN(CC1C)C1=CC=C(C=C1)N(=O)=O
mol180,C(=O)(C1C=CC=C(C=1)OC(NCCCC(C)C)=S)NC1C=CC(=CC=1)OCC
mol181,N1(C2C=CC(=CC=2)OC)C(=O)C2C=CC=CC=2N=C1C=C1C2C=CC=CC=2N(CC)C1=O
mol182,S(C1C=CC=CC=1)(=O)(=O)N(C1=CC=C(C=C1)OCC)CC(=O)N/N=C/C1C=CC(=C(OCC)C=1)OCC1=CC=C(C=C1)Cl
mol183,N1(C2C=CC=CC=2)C(C2C=CC=CC=2)=C(C=C1C1C=CC=CC=1)/C=C1\C(=O)NC(NC\1=O)=O
mol184,C(=O)(C1C=CC=C(C=1)OC(NCC1C=CC=CC=1)=S)NC1=CC=C(C=C1)OCC
mol185,S(=O)(=O)(C1C=CC(=CC=1)C)NCC(=O)NCC(=O)N/N=C/C1C=CC=C(C=1)N(=O)=O
mol186,C(NCCC(C1=CC=CC=C1)C1C=CC=CC=1)(=S)NC1C=CC(=CC=1)OC
mol187,N(=O)(=O)C1C(OC)=CC=C(C=1)C(=O)NC(=S)NC1=CC=C(C=N1)Br
